"GroupName","GroupSamAccountName","GroupDescription","GroupCategory","GroupScope","GroupSID","SIDHIstory","GroupOU","GroupDN"
"Du Lab","Du Lab","File Share","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-134634","","OU=MBRCC Labs,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Du Lab,OU=MBRCC Labs,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVCTSI VPN Group","WVCTSI VPN Group","VPN Access","Security","Global","S-1-5-21-865322659-4255640127-3857865232-135136","","OU=PaloAltos,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=WVCTSI VPN Group,OU=PaloAltos,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RDSH OnCore Chrome","RDSH OnCore Chrome","RDSH Applications","Security","Global","S-1-5-21-865322659-4255640127-3857865232-130107","","OU=Applications,OU=VDI,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RDSH OnCore Chrome,OU=Applications,OU=VDI,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RNI Share Regulatory","RNI Share Regulatory","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-134153","","OU=NEUSUR,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=RNI Share Regulatory,OU=NEUSUR,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI HRT in Postmenopausal Women with CHF Faculty","HS VDI HRT in Postmenopausal Women with CHF Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136324","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI HRT in Postmenopausal Women with CHF Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI HRT in Postmenopausal Women with CHF Student","HS VDI HRT in Postmenopausal Women with CHF Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136325","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI HRT in Postmenopausal Women with CHF Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI LSIC-ALH Review Faculty","HS VDI LSIC-ALH Review Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136326","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI LSIC-ALH Review Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI LSIC-ALH Review Student","HS VDI LSIC-ALH Review Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136327","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI LSIC-ALH Review Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI WVAIM data Faculty","HS VDI WVAIM data Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136328","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI WVAIM data Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI WVAIM data Student","HS VDI WVAIM data Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136329","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI WVAIM data Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Microsoft Audio Conferencing License Group","Microsoft Audio Conferencing License Group","M365 Applications","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-130108","","OU=Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Microsoft Audio Conferencing License Group,OU=Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVUH Tableau Projects Apps","WVUH Tableau Projects Apps","WVUH Applications","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134154","","OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=WVUH Tableau Projects Apps,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Psychology CSC","HSC Psychology CSC","Departmental CSC","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-134637","","OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Psychology CSC,OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Psychology","Psychology","Department Group","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-134638","","OU=Psychology,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Psychology,OU=Psychology,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1008-Minolta-C3110 Group","1008-Minolta-C3110 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-134640","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1008-Minolta-C3110 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2280-minolta-c3110 Group","2280-minolta-c3110 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-134641","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=2280-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Vascular Neurology Share Group","Vascular Neurology Share Group","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-132659","","OU=NEURO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Vascular Neurology Share Group,OU=NEURO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Embedded analyst Group","HS VDI Embedded analyst Group","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134642","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Embedded analyst Group,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Titanium Admins","Titanium Admins","Psychology Titanium Group","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134643","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Titanium Admins,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI FamilyMedicineAbstractData Faculty","HS VDI FamilyMedicineAbstractData Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136369","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI FamilyMedicineAbstractData Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI FamilyMedicineAbstractData Student","HS VDI FamilyMedicineAbstractData Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136370","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI FamilyMedicineAbstractData Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Human Performance Scantron Data Group","Human Performance Scantron Data Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-134646","","OU=HUMANPERF,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Human Performance Scantron Data Group,OU=HUMANPERF,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH Strategic Planning Taskforce","SPH Strategic Planning Taskforce",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-135609","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SPH Strategic Planning Taskforce,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2267-minoltac364e","2267-minoltac364e","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-132667","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=2267-minoltac364e,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC SPH Strategic Planning Taskforce Group","HSC SPH Strategic Planning Taskforce Group",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-136419","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC SPH Strategic Planning Taskforce Group,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Perio_Caries Faculty","HS VDI Perio_Caries Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136425","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Perio_Caries Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Perio_Caries Student","HS VDI Perio_Caries Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136426","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Perio_Caries Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Serratia IDR Faculty","HS VDI Serratia IDR Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136427","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Serratia IDR Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Serratia IDR Student","HS VDI Serratia IDR Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136428","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Serratia IDR Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Allen NAS Audit","HS VDI Allen NAS Audit","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-135151","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Allen NAS Audit,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI EED Research Project Group","HS VDI EED Research Project Group","VDI Projects","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-136429","","OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI EED Research Project Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Khan Diabetes Steroids Faculty","HS VDI Khan Diabetes Steroids Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136432","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Khan Diabetes Steroids Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Khan Diabetes Steroids Student","HS VDI Khan Diabetes Steroids Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136433","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Khan Diabetes Steroids Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MAKO Robotic-Assist 8345","MAKO Robotic-Assist 8345",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-135152","","OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MAKO Robotic-Assist 8345,OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Water quality and Edentulism Faculty","HS VDI Water quality and Edentulism Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136434","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Water quality and Edentulism Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Water quality and Edentulism Student","HS VDI Water quality and Edentulism Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136435","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Water quality and Edentulism Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Faculty","HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136436","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Student","HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136437","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI NovelTherchangingLandscapeMetastaticMelanomaTrmt Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI 1810330706A001 Faculty","HS VDI 1810330706A001 Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136438","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI 1810330706A001 Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI 1810330706A001 Student","HS VDI 1810330706A001 Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136439","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI 1810330706A001 Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Neuroradiology","Neuroradiology","Department Group","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-135158","","OU=Neuroradiology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Neuroradiology,OU=Neuroradiology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$Neuroradiology","$Neuroradiology","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-135159","","OU=Neuroradiology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$Neuroradiology,OU=Neuroradiology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Gender immune-related adverse events Faculty","HS VDI Gender immune-related adverse events Faculty","VDI Projects","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-136450","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Gender immune-related adverse events Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Gender immune-related adverse events Student","HS VDI Gender immune-related adverse events Student","VDI Projects","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-136451","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Gender immune-related adverse events Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI ACNA WV Faculty","HS VDI ACNA WV Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136453","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI ACNA WV Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI ACNA WV Student","HS VDI ACNA WV Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136454","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI ACNA WV Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI COHRA Faculty","HS VDI COHRA Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136458","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI COHRA Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI COHRA Student","HS VDI COHRA Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136459","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI COHRA Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVUH EPCS Imprivata Users","WVUH EPCS Imprivata Users","Membership to this group adds the users to the EPCS policy in WVUHS Imprivata","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134171","","OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=WVUH EPCS Imprivata Users,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Jeff Erin Share group","Jeff Erin Share group","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-132675","","OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Jeff Erin Share group,OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Archives Drive Map Group","HSC Archives Drive Map Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-132676","","OU=ME,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Archives Drive Map Group,OU=ME,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Poly-substance Use Faculty","HS VDI Poly-substance Use Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136467","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Poly-substance Use Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Poly-substance Use Student","HS VDI Poly-substance Use Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136468","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Poly-substance Use Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g353-hplj-p2055 Group","g353-hplj-p2055 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-132677","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=g353-hplj-p2055 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1030-hplj-m227fdw Group","1030-hplj-m227fdw Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-132679","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1030-hplj-m227fdw Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Software-AdobeCCSharedLicense-A","Software-AdobeCCSharedLicense-A","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134177","","OU=SCCM Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Software-AdobeCCSharedLicense-A,OU=SCCM Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Software-AdobeCCSharedLicense-F","Software-AdobeCCSharedLicense-F","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-134178","","OU=SCCM Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Software-AdobeCCSharedLicense-F,OU=SCCM Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"UrologyDept","UrologyDept","Department Group","Security","Global","S-1-5-21-865322659-4255640127-3857865232-135610","","OU=Urology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=UrologyDept,OU=Urology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Wukasch DNP Project Faculty","HS VDI Wukasch DNP Project Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136524","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Wukasch DNP Project Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Wukasch DNP Project Student","HS VDI Wukasch DNP Project Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136525","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Wukasch DNP Project Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI R-15PalliativeCareforEnd-StageHeartFailure Faculty","HS VDI R-15PalliativeCareforEnd-StageHeartFailure Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136526","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI R-15PalliativeCareforEnd-StageHeartFailure Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI R-15PalliativeCareforEnd-StageHeartFailure Student","HS VDI R-15PalliativeCareforEnd-StageHeartFailure Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136527","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI R-15PalliativeCareforEnd-StageHeartFailure Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Pessary use and discontinuation Faculty","HS VDI Pessary use and discontinuation Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136528","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Pessary use and discontinuation Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Pessary use and discontinuation Student","HS VDI Pessary use and discontinuation Student","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136529","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Pessary use and discontinuation Student,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Addiction Medicine Fellowship","Addiction Medicine Fellowship",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-135169","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Addiction Medicine Fellowship,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Addiction Psychiatry Fellowship","Addiction Psychiatry Fellowship",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-135170","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Addiction Psychiatry Fellowship,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS VDI Narcotics database Faculty","HS VDI Narcotics database Faculty","VDI Projects","Security","Global","S-1-5-21-865322659-4255640127-3857865232-136538","","OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS VDI Narcotics database Faculty,OU=VDI and RDSH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
